Question,Category,Difficulty,Answer
There are 2 player roles in Trouble in Terrorist Town.,Entertainment: Video Games,easy,False
Is a dog a mammal?,General Knowledge,easy,True
The Pythagorean theorem states that the square of the hypotenuse is equal to the product of the squares of the other two sides.,Science: Mathematics,medium,False
Which country has the most Trappist breweries?,General Knowledge,medium,Belgium
On which Beatles album would you find the song Eleanor Rigby?,Entertainment: Music,hard,Revolver
What is the historical name of Sri Lanka?,History,easy,Ceylon
The following Spanish provinces are located in the northern area of Spain except:,Geography,medium,Murcia
Which former US president used Lets Make America Great Again as his campaign slogan before Donald Trumps campaign?,Politics,medium,Ronald Reagan
Who created the 2011 Video Game Minecraft?,Entertainment: Video Games,easy,Markus Persson
The United States Department of Homeland Security was formed in response to the September 11th attacks.,History,easy,True
Directly between the Washington Monument and the Reflecting Pool is a memorial to which war?,General Knowledge,medium,World War II
Which of these Disney shows is classified as an anime?,Entertainment: Television,easy,Stitch!
In what year did the Berlin Wall fall?,History,medium,1989
"In Rudyard Kiplings The Jungle Book, what type of snake was Kaa?",Entertainment: Books,medium,Python
When did the CD begin to appear on the consumer market?,Science: Gadgets,easy,1982
Who is the main character in the video game Just Cause 3?,Entertainment: Video Games,medium,Rico Rodriguez
Which sign of the zodiac is represented by the Crab?,General Knowledge,easy,Cancer
Steel is an alloy of Iron and Carbon.,Science & Nature,medium,True
The Ace Attorney trilogy was suppose to end with Phoenix Wright: Ace Attorney − Trials and Tribulations as its final game.,Entertainment: Video Games,medium,True
"In Big Hero 6, what were Baymaxs motions modeled after?",Entertainment: Film,hard,Baby penguins
Which of the following liquids is least viscous? Assume temperature is 25°C.,Science & Nature,hard,Acetone
Which of the following is considered classical conditioning?,Science & Nature,hard,Pavlovs dog experiments
"What city did the monster attack in the film, Cloverfield?,Entertainment: Film",medium,New York, New York
What is “The Sport of Kings”?,Sports,hard,Horse Racing
In which years did the Battle of Gallipoli take place?,History,medium,1915 - 1916
How many spaces are there on a standard Monopoly board?,Entertainment: Board Games,easy,40
The Earth revolves around the Sun in one year.,Science & Nature,easy,True
"In Left 4 Dead, what is the name of the Special Infected that is unplayable in Versus mode?",Entertainment: Video Games,medium,The Witch
"In Counter Strike: Global Offensive, what is the code implanted onto the C4 as the Terrorists plant the bomb?",Entertainment: Video Games,hard,7355608
Which Queen song was covered by Brittany Murphy in the 2006 film Happy Feet?,Entertainment: Music,medium,Somebody to Love
Which Nation did NOT have a Colony in modern-day North America?,History,medium,Portugal
"In Call Of Duty: Zombies, which map features the Fly Trap easter egg?",Entertainment: Video Games,medium,Der Riese
What was the wifi password given to Stephen Strange in Doctor Strange?,Entertainment: Film,hard,Shambala
How many controllers could a Nintendo GameCube have plugged in at one time?,Entertainment: Video Games,medium,4
Which of these characters live in a pineapple under the sea in the cartoon SpongeBob SquarePants.,Entertainment: Cartoon & Animations,easy,SpongeBob SquarePants
When was the first mammal successfully cloned?,Science & Nature,medium,1996
Which country had an Orange Revolution between 2004 and 2005?,History,medium,Ukraine
Who voices Shou Suzuki in the English dub of Mob Psycho 100?,Entertainment: Japanese Anime & Manga,medium,Casey Mongillo
"What happened to Half-Life 2 prior to its release, which resulted in Valve starting over the development of the game?",Entertainment: Video Games,medium,The source code got leaked
"What type of animal was Harambe, who was shot after a child fell into its enclosure at the Cincinnati Zoo?",General Knowledge,easy,Gorilla
"Which famous military commander marched an army, which included war elephants, over the Alps during the Second Punic War?",History,easy,Hannibal
"In the 1992 film Army of Darkness, what name does Ash give to his double-barreled shotgun?",Entertainment: Film,easy,Boomstick
When was the movie Con Air released?,Entertainment: Film,easy,1997
"What is the half-life of Uranium-235?,Science & Nature,medium",703,800,000 years
How many degrees Fahrenheit is 100 degrees Celsius? ,Science & Nature,medium,212
"In Terraria, what does the Wall of Flesh not drop upon defeat?",Entertainment: Video Games,medium,Picksaw
Which of these books was NOT written by the Czech author Karel Čapek?,Entertainment: Books,medium,Journey to the Center of the Earth
Which Italian automobile manufacturer gained majority control of U.S. automobile manufacturer Chrysler in 2011?,General Knowledge,medium,Fiat
"In The Binding of Isaac, what is the name of the final boss that you fight in The Void?",Entertainment: Video Games,medium,Delirium
Which artists style was to use small different colored dots to create a picture?,Art,medium,Georges Seurat
What are the first 6 digits of the number Pi?,Science: Mathematics,medium,3.14159
"In The Lies Of Locke Lamora, what does Lamora mean in Throne Therin?",Entertainment: Books,hard,Shadow
"The first episode of WWF Monday Night RAW aired on January 11, 1990.",Sports,medium,False
What is not a wind instrument?,Entertainment: Music,easy,Viola
Which of these animals belongs in class Chondrichthyes?,Science & Nature,hard,Great white shark
Sea sponges can have hearts.,Animals,medium,False
Bob Ross was a US Air Force pilot.,Entertainment: Television,medium,False
Which Teenage Mutant Ninja Turtle traditionally wears an orange bandana?,Entertainment: Cartoon & Animations,easy,Michelangelo
Who is the main villain of Kirbys Return to Dreamland?,Entertainment: Video Games,medium,Magolor
Who directed E.T. the Extra-Terrestrial (1982)?,Entertainment: Film,easy,Steven Spielberg
"Which one of these films did David Lynch direct, but not write?",Entertainment: Film,hard,The Straight Story
The 2005 video game Call of Duty 2: Big Red One is not available on PC.,Entertainment: Video Games,easy,True
In what year does Jurassic World open in the Jurassic Park universe?,Entertainment: Film,hard,2005
What Nationality is D.Va from Overwatch?,Entertainment: Video Games,easy,Korean
"In Overwatch, which hero is able to wallride?",Entertainment: Video Games,easy,Lucio
"In the MMO RPG Realm of the Mad God, what dungeon is widely considered to be the most difficult?",General Knowledge,hard,The Shatters
Unturned originally started as a Roblox game.,Entertainment: Video Games,hard,True
When was WhatsApp founded?,General Knowledge,medium,2009
"In the show Dragonball Z, what is the name of Cells most powerful attack?",Entertainment: Television,easy,Solar Kamehameha
Which team was the 2014-2015 NBA Champions?,Sports,medium,Golden State Warriors
What did the first vending machines in the early 1880s dispense?,History,hard,Post cards
"When was the city of Rome, Italy founded?",History,hard,753 BCE
"In CoD: Black Ops III, what is the name of the rogue A.I. antagonist?",Entertainment: Video Games,easy,Corvus
What is the French word for hat?,General Knowledge,easy,Chapeau
TF2: What code does Soldier put into the door keypad in Meet the Spy?,Entertainment: Video Games,easy,1111
What was the original name of New York City?,History,hard,New Amsterdam
"Which star actor was in Top Gun, Jerry Maguire and Born on the Fourth of July?",Entertainment: Film,medium,Tom Cruise
"In the 2002 video game Kingdom Hearts, how many playable worlds were there?",Entertainment: Video Games,medium,14
Who is the lead singer of The Lumineers?,Entertainment: Music,medium,Wesley Schultz
Who was the 40th President of the USA?,Politics,medium,Ronald Reagan
Which of these characters does not appear in Nier: Automata?,Entertainment: Video Games,medium,A1
What is the codename of the eighth generation Intel Core micro-architecture launched in October 2017?,Science: Computers,hard,Coffee Lake
What is the name of the prison in Half Life 2?,Entertainment: Video Games,medium,Nova Prospekt
Which portion of the Marijuana plant produces the psychoactive substance known as THC?,Science & Nature,medium,Female Flower
The eccentric natural philosopher Tycho Brahe kept what as a pet?,Celebrities,hard,Moose
AMD created the first consumer 64-bit processor.,Science: Computers,medium,True
Which of these is a type of monster found in Minecraft?,Entertainment: Video Games,easy,Skeleton
Which country has the most Trappist breweries?,General Knowledge,medium,Belgium
"In the hexadecimal system, what number comes after 9?",Science: Mathematics,medium,The Letter A
"In the TV series Person of Interest, who plays the character Harold Finch?",Entertainment: Television,medium,Michael Emerson
"In June 2017, Saudi Arabia and Egypt broke off ties with which country over its supposed support for terrorism?",Politics,hard,Qatar
"When was the Playstation 3 released?,General Knowledge",easy,November 11, 2006
What is the capital of Scotland?,Geography,easy,Edinburgh
Who is the lead singer of the band Coldplay?,Entertainment: Music,easy,Chris Martin
What Led Zeppelin album contains Stairway to Heaven?,Entertainment: Music,easy,Led Zeppelin IV
Which Beatles album does NOT feature any of the band members on its cover?,Entertainment: Music,easy,The Beatles (White Album)
What is the lowest amount of max health you can have in Team Fortress 2?,Entertainment: Video Games,medium,70
"In Overwatch, what is the name of Mercys ultimate ability?",Entertainment: Video Games,medium,Valkyrie
What is the capital of South Korea?,Geography,easy,Seoul
The “fairy” type made it’s debut in which generation of the Pokemon core series games?,Entertainment: Video Games,easy,6th
Which member of the Velvet Room is not a playable character in Persona 4 Arena Ultimax?,Entertainment: Video Games,easy,Theodore
How many cores does the Intel i7-6950X have?,Science: Computers,medium,10
Greenland is a part of which kingdom?,Geography,easy,Denmark
How many times do you fight Gilgamesh in Final Fantasy 5?,Entertainment: Video Games,easy,6
Which film has been critically regarded as the best film of all time?,Entertainment: Film,easy,Citizen Kane
"Which of these is the name of a Japanese system of alternative medicine, literally meaning finger pressure?",General Knowledge,medium,Shiatsu
Which of the following is not a playable race in the MMORPG Guild Wars 2? ,Entertainment: Video Games,medium,Tengu
"Who is the victim mentioned in the second KG-8 incident, in Ace attorney Investigations, Case 4?",Entertainment: Video Games,hard,Deid Mann
"In Earthbound, how does one enter Master Belchs factory?",Entertainment: Video Games,hard,Wait 3 Minutes
"In Team Fortress 2, how much health does a scout have when overhealed?",Entertainment: Video Games,hard,185
What is the full title of the Prime Minister of the UK?,General Knowledge,medium,First Lord of the Treasury
"The title of the 1969 film Krakatoa, East_of Java is incorrect, as Krakatoa is in fact west of Java.",Geography,medium,True
How long was Ken Jennings win streak on Jeopardy?,Entertainment: Television,medium,74
Ikki Kurogane is known by what nickname at the beginning of Chivalry of a Failed Knight?,Entertainment: Japanese Anime & Manga,medium,Worst One
In the original DOOM (1993) which of the following is NOT a cheat code?,Entertainment: Video Games,hard,IDCLIP
Satella in Re:Zero is the witch of what?,Entertainment: Japanese Anime & Manga,easy,Envy
Which of the following Pokémon games released first?,Entertainment: Video Games,medium,Pokémon Crystal
The asteroid belt is located between which two planets?,Science & Nature,easy,Mars and Jupiter
What snowy mob was added in Minecraft 1.10?,Entertainment: Video Games,medium,Polar bears
What internet protocol was documented in RFC 1459?,Science: Computers,hard,IRC
What was the name of the cancelled sequel of Team Fortress?,Entertainment: Video Games,easy,Team Fortress 2: Brotherhood of Arms
"What is the name of Team Fortress 2 update, in which it became Free-to-play?",Entertainment: Video Games,easy,Über Update
Pneumonoultramicroscopicsilicovolcanoconiosis is a synonym for the disease known as silicosis.,Science & Nature,medium,True
Which American author was also a budding travel writer and wrote of his adventures with his dog Charley?,Entertainment: Books,medium,John Steinbeck
What is the name of the three headed dog in Harry Potter and the Sorcerers Stone?,Entertainment: Books,easy,Fluffy
"In the game Fire Emblem: Shadow Dragon, what is the central protagonists name?",Entertainment: Video Games,easy,Marth
Which franchise does the creature Slowpoke originate from?,Entertainment: Video Games,easy,Pokemon
George W. Bush lost the popular vote in the 2004 United States presidential election.,Politics,medium,False
"In the Half-Life franchise, what is the real name of the gravity gun?",Entertainment: Video Games,medium,Zero-Point Energy Field Manipulator
"In the Little Lost Girl Easter Egg in Call of Duty: Black Ops II, whats the last step required for the achievement?",Entertainment: Video Games,hard,Raise Hell
Which of the following FIA Rally cars was approved for use in the Group B class first? ,Vehicles,hard,Porsche 911 Turbo
"Water always boils at 100°C, 212°F, 373.15K, no matter where you are.",Science & Nature,easy,False
Which city is the capital of Switzerland?,Geography,medium,Bern
"In Call Of Duty: Zombies, Richtofen is in possession of two filled blood vials belonging to who?",Entertainment: Video Games,hard,Sal DeLuca and Finn OLeary
How many countries are larger than Australia?,Geography,medium,5
What is the largest lake in the African continent?,Geography,medium,Lake Victoria
The French Kingdom helped the United States gain their independence over Great Britain during the Revolutionary War.,History,easy,True
Where was the Sniper character in Team Fortress 2 born?,Entertainment: Video Games,medium,New Zealand
What is Scooby-Doos real name?,Entertainment: Cartoon & Animations,medium,Scoobert
Who plays Jack Burton in the movie Big Trouble in Little China?,Entertainment: Film,easy,Kurt Russell
Which of these was an official candidate in the 2017 British General Election?,Politics,hard,Lord Buckethead
What is the relationship between the band members of American rock band King of Leon?,Entertainment: Music,medium,Brothers & cousins
By which name is Ramon Estevez better known as?,Celebrities,easy,Martin Sheen
What mutated animals act as monsters in the movie Night of the Lepus?,Entertainment: Film,medium,Rabbits
Who is the musical director for the award winning musical Hamilton?,Entertainment: Musicals & Theatres,medium,Alex Lacamoire
Who is the main character of Metal Gear Solid 3?,Entertainment: Video Games,medium,Naked Snake
EDM record label Monstercat is based in which country?,Entertainment: Music,medium,Canada
What was the name of Ross pet monkey on Friends?,Entertainment: Television,medium,Marcel
The A Team first aired in the USA and in the UK in what year?,Entertainment: Television,medium,1983
Who painted the Mona Lisa?,Art,easy,Leonardo da Vinci
The programming language Swift was created to replace what other programming language?,Science: Computers,easy,Objective-C
How many controllers could a Nintendo GameCube have plugged in at one time?,Entertainment: Video Games,medium,4
"In the programming language Java, which of these keywords would you put on a variable to make sure it doesnt get modified?",Science: Computers,easy,Final
Who created the 2011 Video Game Minecraft?,Entertainment: Video Games,easy,Markus Persson
What team did England beat to win in the 1966 World Cup final?,Sports,easy,West Germany
"The original Planetside was released in North America on,Entertainment: Video Games",medium,May 20, 2003
"In Need for Speed: Underground, what car does Eddie drive?",Entertainment: Video Games,medium,Nissan Skyline GT-R (R34)
"In Back to the Future Part II, Marty and Dr. Emmett Brown go to which future date?,Entertainment: Film",medium,October 21, 2015
Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.,Entertainment: Film,easy,True
How many countries are larger than Australia?,Geography,medium,5
What is the birth name of Michael Caine?,Entertainment: Film,medium,Maurice Micklewhite
Brian May was the guitarist for which band?,Entertainment: Music,easy,Queen
"In Counter-Strike: Global Offensive, whats the rarity of discontinued skins called?",Entertainment: Video Games,easy,Contraband
What breed of dog was Marley in the film Marley & Me (2008)?,Entertainment: Film,easy,Labrador Retriever
"In the Super Mario series, the character Pauline is a Princess like Princess Peach.",Entertainment: Video Games,easy,False
"In Norse Mythology, Baldr was killed by Loki with a magical spear made from what plant?",Mythology,medium,Mistletoe
"In Jurassic World, what is the name of the dinosaur that is a genetic hybrid?",Entertainment: Film,easy,Indominus Rex
The top human players can easily beat the top computers at chess,Entertainment: Board Games,easy,False
Who designed the Chupa Chups logo?,Art,medium,Salvador Dali
What breed of dog is Scooby Doo?,Entertainment: Television,medium,Great Dane
Which male player won the gold medal of table tennis singles in 2016 Olympics Games?,Sports,hard,Ma Long (China)
Which element has the chemical symbol Fe?,Science & Nature,easy,Iron
Mobile hardware and software company Blackberry Limited was founded in which country?,Science: Gadgets,medium,Canada
The word abulia means which of the following?,General Knowledge,hard,The inability to make decisions
What colour is the female blackbird?,Animals,easy,Brown
What is the name of the album released in 2014 by American band Maroon 5?,Entertainment: Music,easy,V
Who had a 1973 hit with the song Hocus Pocus?,Entertainment: Music,medium,Focus
"Rhode Island is actually located on the US mainland, despite its name.",Geography,easy,True
What is the scientific name of the red fox?,Science & Nature,hard,Vulpes Vulpes
What does CPU stand for?,Science: Computers,easy,Central Processing Unit
"In flight systems, what does the initialism TCAS stand for?",General Knowledge,hard,Traffic Collision Avoidance System
What is the collective noun for bears?,Animals,medium,Sloth
"When was Chapter 1 of the Source Engine mod Underhell released?,Entertainment: Video Games",medium,September 1st, 2013
"In the Hitman series, what is the name of the main character?",Entertainment: Video Games,easy,Agent 47
When was the play Macbeth written?,Entertainment: Musicals & Theatres,medium,1606
Who was the first Jazz Musician to win the Pulitzer Prize for Music,Entertainment: Music,hard,Wynton Marsalis
Whats Harry Potters dads name?,Entertainment: Books,easy,James Potter
What was the name of the planned invasion of Japan towards the end of World War II?,History,medium,Operation Downfall
The walls of the Goldenrod City Gym in Pokémon Gold and Silver are arranged in the shape of which Pokémon?,Entertainment: Video Games,medium,Clefairy
What is the sum of all the tiles in a standard box of Scrabble?,Entertainment: Board Games,hard,187
Which of the following is NOT a summon in the game South Park: The Stick of Truth?,Entertainment: Video Games,easy,Towelie
A statue of Charles Darwin sits in what London museum?,General Knowledge,medium,Natural History Museum
Which of the following is not a megadiverse country - one that harbors a high number of the earths endemic species?,Geography,medium,Thailand
Who was the first female protagonist in a video game?,Entertainment: Video Games,medium,Samus Aran
In the 1979 British film Quadrophenia what is the name of the main protagonist?,Entertainment: Film,medium,Jimmy Cooper
"In Calvin and Hobbes, what is the name of the babysitters boyfriend?",Entertainment: Comics,medium,Charlie
What mythology did the god Apollo come from?,Mythology,easy,Greek and Roman
"Typically, how many keys are on a piano?",Entertainment: Music,medium,88
Which of Michael Jacksons albums sold the most copies?,Entertainment: Music,hard,Thriller
What is the first Studio Album to be released on the Internet with a Pay-What-You-Want price?,Entertainment: Music,hard,In Rainbows
"In Team Fortress 2, which class wields a shotgun?",Entertainment: Video Games,medium,Everyone Listed
Stephen Chbosky wrote the book The Perks of Being A Wallflower.,Entertainment: Books,easy,True
Former United States Presidents John Adams and Thomas Jefferson died within hours of each other.,History,easy,True
What was the name of the Secret Organization in the Hotline Miami series? ,Entertainment: Video Games,medium,50 Blessings
What is the scientific name of the cheetah?,Animals,hard,Acinonyx jubatus
Who was Kung Fu Fighting in 1974?,Entertainment: Music,easy,Carl Douglas
What is the name of Eragons dragon in Eragon?,Entertainment: Books,medium,Saphira
What is radiation measured in?,Science & Nature,medium,Gray
"In the game Call of Duty, what is the last level where you play as an American soldier?",Entertainment: Video Games,hard,Festung Recogne
Which of these cities has a 4° East longitude. ,Geography,hard,Amsterdam
Grand Theft Autumn/Where Is Your Boy is a song by which band?,Entertainment: Music,medium,Fall Out Boy
Which naval battle was considered the turning point of the Pacific Ocean Theater during World War 2?,History,hard,Battle of Midway
Which souls game was not directed by Hidetaka Miyazaki?,Entertainment: Video Games,hard,Dark Souls 2
Mark Wahlberg played the titular character of which 2008 video-game adaptation?,Entertainment: Film,medium,Max Payne
Which of the following is a character in the video game Destiny?,Entertainment: Video Games,medium,Cayde-6
"In Greek Mythology, who was the daughter of King Minos?",Mythology,hard,Ariadne
"Which American celebrity died in 1977 playing golf in La Moraleja, Madrid?",Celebrities,medium,Bing Crosby
Who performed the opening theme song for the James Bond 007 movie Goldfinger?,Entertainment: Film,medium,Shirley Basey
"In the 2011 TV anime series, THE iDOLM@STER, what was the name of Ioris stuffed toy bunny?",Entertainment: Japanese Anime & Manga,medium,Charles
Metal Gear Solid 3: Snake Eater takes place on Shadow Moses Island.,Entertainment: Video Games,medium,False
Which of these countries is NOT a part of the Asian continent?,Geography,hard,Suriname
Who is the horror manga artist who made Uzumaki?,Entertainment: Japanese Anime & Manga,hard,Junji Ito
When someone is inexperienced they are said to be what color?,General Knowledge,easy,Green
"In most FPS video games such as Counter-Strike, shooting which part of the body does the highest damage?",Entertainment: Video Games,easy,Head
"In Terry Pratchetts Discworld novel Wyrd Sisters, which of these are not one of the three main witches?",Entertainment: Books,medium,Winny Hathersham
What is the name of Layer 7 of the OSI model?,Science: Computers,easy,Application
Which of the General Mills Corporations monster cereals was the last to be released in the 1970s?,General Knowledge,medium,Fruit Brute
"If soccer is called football in England, what is American football called in England?",Geography,easy,American football
How many dots are on a single die?,Entertainment: Board Games,easy,21
"Which of these words refers to something made, distributed, or sold illegally?",General Knowledge,easy,Bootleg
In what prison was Adolf Hitler held in 1924?,History,medium,Landsberg Prison
Which soccer player is featured on the cover of EA Sports FIFA 18?,Entertainment: Video Games,medium,Cristiano Ronaldo
"In season one of the US Kitchen Nightmares, Gordan Ramsay tried to save 10 different restaurants. How many ended up closing afterwards?",Entertainment: Television,hard,9
What is the Swedish word for window?,General Knowledge,medium,Fönster
"In the anime, Super Sonico, what is Super Sonicos favorite food?",Entertainment: Japanese Anime & Manga,medium,Macroons
"The first half-hour CGI cartoon, ReBoot, aired on which year?",Entertainment: Television,medium,1994
Otters have pockets under their arms for carrying their favourite snacks and rocks.,Animals,medium,True
"In Overwatch, Coalescence is the name for the ultimate of which hero?",Entertainment: Video Games,medium,Moira
Which of the following characters from the game Overwatch was revealed to be homosexual in December of 2016?,Entertainment: Video Games,easy,Tracer
Five dollars is worth how many nickels?,General Knowledge,easy,100
"In the original Super Mario Bros., what is the acceleration of Mario if he was in free fall?",Entertainment: Video Games,hard,91.28 m/s^2
How many playable characters are there in Super Smash Bros. for Nintendo 3DS and Wii U?,Entertainment: Video Games,hard,58
Which country does the band Rammstein hail from?,Entertainment: Music,easy,Germany
In the Overlord Anime who was Cocytus made by?,Entertainment: Japanese Anime & Manga,hard,Warrior Takemikazuchi
BMW M GmbH is a subsidiary of BMW AG that focuses on car performance.,Vehicles,easy,True
Myopia is the scientific term for which condition?,Science & Nature,medium,Shortsightedness
Pure water effectively conducts electricity ,General Knowledge,medium,False
Formula E is an auto racing series that uses hybrid electric race cars.,Sports,medium,False
What name is the main character Chihiro given in the 2001 movie Spirited Away?,Entertainment: Japanese Anime & Manga,easy,Sen (Thousand)
How many laws of thermodynamics are there?,Science & Nature,easy,Four
"What Touhou Project characters first ever appearance was as a midboss in the eighth game, Imperishable Night?",Entertainment: Video Games,hard,Tewi Inaba
"In Halo, what is the name of the planet which Installation 04 orbits?",Entertainment: Video Games,hard,Threshold
What does LTS stand for in the software market?,Science: Computers,easy,Long Term Support
In which mall does Dead Rising take place?,Entertainment: Video Games,easy,Willamette Parkview Mall
Which of the following physical typologies are used with Ethernet Networks?,Science: Computers,hard,Star
Who was the Prime Minister of Japan when Japan declared war on the US?,History,easy,Hideki Tojo
What was the first superhero film James Gunn was involved with?,Entertainment: Film,hard,The Specials
A scalene triangle has two sides of equal length.,Science: Mathematics,easy,False
"In The Binding of Isaac, what is the name of the final boss that you fight in The Void?",Entertainment: Video Games,medium,Delirium
What is the capital city of Slovenia?,Geography,medium,Ljubljana
"In Call Of Duty: Zombies, what is the name of the machine that upgrades weapons?",Entertainment: Video Games,easy,Pack-A-Punch
"Irish musician Hozier released a music track in 2013 titled, Take Me to ______",Entertainment: Music,medium,Church
Toby Foxs Megalovania was first used where?,Entertainment: Video Games,medium,Radiations Earthbound Halloween Hack
"In Undertale, having a Fun Value set to 56-57 will play the Wrong Number Song Call.",Entertainment: Video Games,hard,False
What airline was the owner of the plane that crashed off the coast of Nova Scotia in 1998?,General Knowledge,easy,Swiss Air
Which one of the first four titles of the Grand Theft Auto franchise started the series of iconic image grid cover arts?,Entertainment: Video Games,medium,Grand Theft Auto III
"The four strings on a violin are the G string, D string, A string, and...",Entertainment: Music,easy,E string
Which of the following is the oldest of these computers by release date?,Science: Computers,hard,TRS-80
Which two modern-day countries used to be known as the region of Rhodesia between the 1890s and 1980?,Geography,medium,Zambia & Zimbabwe
Who was the main developer of the Suez Canal?,History,medium,Ferdinand de Lesseps
"Switzerland has four national languages, English being one of them.",Geography,hard,False
Donkey Kong was originally set to be a Popeye arcade game.,Entertainment: Video Games,easy,True
Pointers were not used in the original C programming language; they were added later on in C++.,Science: Computers,easy,False
What album did Gorillaz release in 2017?,Entertainment: Music,medium,Humanz
"In the Doctor Who universe, how many times can a time lord normally regenerate?",Entertainment: Television,medium,12
What event marked the start of World War II?,History,medium,Invasion of Poland (1939)
What is the elemental symbol for mercury?,Science & Nature,easy,Hg
"According to their 1974 hit, what were Brownsville Station doing In The Boys Room?",Entertainment: Music,medium,Smokin
"What was Maggie Simpsons first canonical word, not including the Tracey Ullman shorts?",Entertainment: Cartoon & Animations,hard,Daddy.
Which African American is in part responsible for integrating  Major League baseball?,Sports,easy,Jackie Robinson
The General Motors EV1 was the first street-legal production electric vehicle.,Vehicles,medium,False
Which Twitch streamer is the vocalist for Red Vox?,Entertainment: Music,easy,Vinesauce
"All of these maps were in Tom Clancys Rainbow Six Siege on its initial release: House, Clubhouse, Border, Consulate.",Entertainment: Video Games,hard,False
"What name did Mario, from Super Mario Brothers, originally have?",Entertainment: Video Games,medium,Ossan
What was the main currency in Club Penguin?,Entertainment: Video Games,medium,Coins
What is the last name of the primary female protagonist of Final Fantasy VIII?,Entertainment: Video Games,easy,Heartilly
In which countrys version of Half-Life are the HECU Marines replaced with robots?,Entertainment: Video Games,medium,Germany
In which manga did the 404 Girl from 4chan originate from?,Entertainment: Japanese Anime & Manga,hard,Yotsuba&!
What is the name of the famous Apache leader who died in 1909 at the age of 70?,History,medium,Geronimo
